,province_state,fips,last_update,total_covid_cases,total_covid_deaths,case_fatality_ratio,total_test_results,sum_facemask_enforced,sum_facemask_citation_fine,sum_holidays,sum_holiday_face_mask_citation_fine,sum_quarantine_travellers,sum_shelter_in_place,population_2018,population_density_sqmiles,covid_total_on_4_12_2020,winning_part_2020_presidential_election,Column_Name,Description
0,Alabama,1,11/18/2020,47846,513,1.494693183,1473546,31,0,1,1,0,0,4887871,93,3667,Republican,Province_State , The name of the State within the USA.
1,Alaska,2,11/18/2020,14024,35,0.399345074,878622,0,0,1,0,31,0,737438,1,272,Republican,fips,Code for US State
2,Arizona,4,11/18/2020,48747,485,2.255123332,3318826,0,0,1,0,0,0,7171646,62,3542,Democrat,Last_Update , The most recent date the file was pushed.
3,Arkansas,5,11/18/2020,36836,541,1.651925652,1525279,31,31,1,1,0,0,3013825,56,1280,Republican,"total_covid_cases	",Sum of all covid cases in the state. 
4,California,6,11/18/2020,182715,1383,1.74353906,21259076,31,0,1,1,0,31,39557045,241,22805,Democrat,"total_covid_deaths	",Sum of all covid deaths in the state. 
5,Colorado,8,11/18/2020,86742,432,1.515891284,2560096,31,0,1,1,0,0,5695564,54,7307,Democrat,"case_fatality_ratio	", Number recorded deaths * 100/ Number confirmed cases.
6,Connecticut,9,11/18/2020,32156,229,5.022845472,2826458,31,0,1,1,31,0,3572665,644,12035,Democrat,total_test_results,Total of num of Test Results. 
7,Delaware,10,11/18/2020,6459,88,2.500676773,634013,31,31,1,1,0,0,967171,388,1625,Democrat,"sum_facemask_enforced	",Num of days face mask mandate was active 
8,District of Columbia,11,11/18/2020,2939,19,3.418095189,596742,31,31,1,1,31,0,702455,11496,1875,Democrat,"sum_facemask_citation_fine	",Num of days face mask mandate was enforced with citation or fine. 
9,Florida,12,11/18/2020,142303,1677,1.966293074,6663538,0,0,1,0,0,0,21299325,323,19895,Republican,"sum_holidays	",Num of holidays
10,Georgia,13,11/18/2020,90013,1370,2.092105599,3954422,0,0,1,0,0,0,10519475,177,12452,Democrat,"sum_holiday_face_mask_citation_fine	",Num of holidays when face mask mandate was enforced with citation or fine. 
11,Hawaii,15,11/18/2020,2874,35,1.313220941,602834,0,0,1,0,31,0,1420491,129,499,Democrat,"sum_quarantine_travellers	",Num of days when quarantine was active for travellers
12,Idaho,16,11/18/2020,32033,270,0.937444934,433222,0,0,1,0,0,0,1754208,20,1407,Republican,"sum_shelter_in_place	",Num of days when shelter in place order was active. 
13,Illinois,17,11/18/2020,250218,1843,1.892952903,9255658,31,31,1,1,0,0,12741080,220,20852,Democrat,"population_2018 population_density_sqmiles	",Population density.
14,Indiana,18,11/18/2020,114625,1350,1.916424809,3612076,31,0,1,1,0,0,6691878,183,7928,Republican,"covid_total_on_4_12_2020	",Total num of covid cases on 4/12/2020 (start of our dataset)
15,Iowa,19,11/18/2020,85864,532,1.068334041,997034,3,0,1,0,0,0,3156145,56,1587,Republican,winning_part_2020_presidential_election,Political party of presential candidate that won the state. 
16,Kansas,20,11/18/2020,51172,407,0.97530608,733756,31,0,1,1,31,0,2911505,35,1344,Republican,,
17,Kentucky,21,11/18/2020,54401,379,1.195003098,2262716,31,0,1,1,0,0,4468402,110,1963,Republican,,
18,Louisiana,22,11/18/2020,31904,406,2.964104293,3068330,31,31,1,1,0,0,4659978,88,20595,Republican,,
19,Maine,23,11/18/2020,3426,20,1.772936025,764918,31,31,1,1,31,0,1338404,37,633,Republican,,
20,Maryland,24,11/18/2020,34148,298,2.552928359,3922306,31,31,1,1,0,0,6042718,487,8225,Democrat,,
