,province_state,fips,last_update,total_covid_cases,total_covid_deaths,case_fatality_ratio,total_test_results,sum_facemask_enforced,sum_facemask_citation_fine,sum_holidays,sum_holiday_face_mask_citation_fine,sum_quarantine_travellers,sum_shelter_in_place,population_2018,population_density_sqmiles,covid_total_on_4_12_2020,winning_part_2020_presidential_election,Column_Name,Description
0,Alabama,1,4/3/2021,516266,10607,2.054561021,2411593,260,0,10,0,0,26,4887871,93,3667,Republican,Province_State , The name of the State within the USA.
1,Alaska,2,4/3/2021,63501,313,0.492905624,1911934,28,28,10,5,326,27,737438,1,272,Republican,fips,Code for US State
2,Arizona,4,4/3/2021,843132,16989,2.014986977,8559009,0,0,10,0,33,46,7171646,62,3542,Democrat,Last_Update , The most recent date the file was pushed.
3,Arkansas,5,4/3/2021,330753,5639,1.704897612,2864503,256,256,10,112,41,0,3013825,56,1280,Republican,"total_covid_cases	",Sum of all covid cases in the state. 
4,California,6,4/3/2021,3675191,59614,1.622065357,53934609,288,0,10,0,0,312,39557045,241,22805,Democrat,"total_covid_deaths	",Sum of all covid deaths in the state. 
5,Colorado,8,4/3/2021,465330,6118,1.314765865,7002984,260,0,10,0,0,32,5695564,54,7307,Democrat,"case_fatality_ratio	", Number recorded deaths * 100/ Number confirmed cases.
6,Connecticut,9,4/3/2021,313956,7904,2.51755023,7232655,347,0,10,0,267,0,3572665,644,12035,Democrat,total_test_results,Total of num of Test Results. 
7,Delaware,10,4/3/2021,95590,1565,1.637200544,1576023,339,339,10,142,63,69,967171,388,1625,Democrat,"sum_facemask_enforced	",Num of days face mask mandate was active 
8,District of Columbia,11,4/3/2021,44807,1069,2.385787935,1379522,350,350,10,142,249,58,702455,11496,1875,Democrat,"sum_facemask_citation_fine	",Num of days face mask mandate was enforced with citation or fine. 
9,Florida,12,4/3/2021,2071015,33586,1.621716888,20918247,0,0,10,0,134,45,21299325,323,19895,Republican,"sum_holidays	",Num of holidays
10,Georgia,13,4/3/2021,1062555,19176,1.80470658,7813517,0,0,10,0,0,28,10519475,177,12452,Democrat,"sum_holiday_face_mask_citation_fine	",Num of holidays when face mask mandate was enforced with citation or fine. 
11,Hawaii,15,4/3/2021,31129,463,1.487359054,1278296,0,0,10,0,372,67,1420491,129,499,Democrat,"sum_quarantine_travellers	",Num of days when quarantine was active for travellers
12,Idaho,16,4/3/2021,181181,1966,1.085102743,677195,0,0,10,0,31,37,1754208,20,1407,Republican,"sum_shelter_in_place	",Num of days when shelter in place order was active. 
13,Illinois,17,4/3/2021,1251255,23626,1.888184263,20409227,336,336,10,142,0,69,12741080,220,20852,Democrat,"population_2018 population_density_sqmiles	",Population density.
14,Indiana,18,4/3/2021,688916,13069,1.897038246,8938557,249,0,10,0,0,54,6691878,183,7928,Republican,"covid_total_on_4_12_2020	",Total num of covid cases on 4/12/2020 (start of our dataset)
15,Iowa,19,4/3/2021,352714,5754,1.631350046,1374073,83,0,10,0,0,0,3156145,56,1587,Republican,winning_part_2020_presidential_election,Political party of presential candidate that won the state. 
16,Kansas,20,4/3/2021,304429,4889,1.605957383,1318953,273,0,10,0,375,35,2911505,35,1344,Republican,,
17,Kentucky,21,4/3/2021,428527,6129,1.430248269,4221723,326,0,10,0,34,0,4468402,110,1963,Republican,,
18,Louisiana,22,4/3/2021,445469,10161,2.280966801,6067042,238,238,10,112,0,53,4659978,88,20595,Republican,,
19,Maine,23,4/3/2021,51189,744,1.453437262,1790426,336,336,10,142,364,59,1338404,37,633,Republican,,
20,Maryland,24,4/3/2021,414385,8319,2.007553362,8800105,349,349,10,142,106,46,6042718,487,8225,Democrat,,
21,Massachusetts,25,4/3/2021,640779,17249,2.691879728,18928748,331,331,10,142,360,55,6902149,653,25475,Democrat,,
22,Michigan,26,4/3/2021,759600,17194,2.263559768,11552981,340,340,10,142,0,69,9995915,103,24244,Democrat,,
23,Minnesota,27,4/3/2021,524203,6942,1.324296122,7713585,252,0,10,0,0,51,5611179,64,1621,Democrat,,
24,Mississippi,28,4/3/2021,305701,7051,2.306502105,1832734,56,0,10,0,0,24,2986530,61,2781,Republican,,
25,Missouri,29,4/3/2021,583131,8861,1.51955564,4901812,0,0,10,0,0,28,6126452,87,4352,Republican,,
26,Montana,30,4/3/2021,104853,1454,1.386703289,1209307,0,0,10,0,63,29,1062305,7,387,Republican,,
27,Nebraska,31,4/3/2021,211239,2181,1.032479798,2613243,0,0,10,0,0,0,1929268,24,791,Republican,,
28,Nevada,32,4/3/2021,304454,5260,1.727683,2958283,280,280,10,127,0,39,3034392,27,2836,Democrat,,
29,New Hampshire,33,4/3/2021,85010,1245,1.464533584,1662901,133,0,10,0,138,80,1356458,145,929,Democrat,,
30,New Jersey,34,4/3/2021,918951,24615,2.678597662,12286915,359,359,10,142,0,80,8908520,1021,61850,Democrat,,
31,New Mexico,35,4/3/2021,192152,3949,2.055143844,3011179,322,0,10,0,225,374,2095428,17,1245,Democrat,,
32,New York,36,4/3/2021,1890346,50458,2.669246794,45175804,350,350,10,142,281,97,19542209,358,189033,Democrat,,
33,North Carolina,37,4/3/2021,916159,12136,1.324660894,10546065,280,280,10,127,0,53,10383620,192,4570,Democrat,,
34,North Dakota,38,4/3/2021,103460,1498,1.447902571,1470284,65,0,10,0,177,0,760077,10,308,Republican,,
35,Ohio,39,4/3/2021,1021718,18643,1.824671778,11020748,253,0,10,0,0,57,11689442,260,6604,Republican,,
36,Oklahoma,40,4/3/2021,439149,4953,1.127863208,3777319,0,0,10,0,44,0,3943079,56,1970,Republican,,
37,Oregon,41,4/3/2021,166013,2385,1.43663448,4209611,275,0,10,0,0,88,4190713,42,1527,Democrat,,
38,Pennsylvania,42,4/3/2021,1035559,25135,2.427191498,11731167,275,275,10,122,133,65,12807060,278,22938,Democrat,,
39,Rhode Island,44,4/3/2021,138255,2630,1.902282015,3541705,349,0,10,0,372,42,1057315,684,2665,Democrat,,
