,province_state,fips,last_update,total_covid_cases,total_covid_deaths,case_fatality_ratio,total_test_results,sum_facemask_enforced,sum_facemask_citation_fine,sum_shelter_in_place,sum_quarantine_travellers,population_2018,population_2018,population_density_sqmiles,covid_total_on_4_12_2020,winning_part_2020_presidential_election,Column_Name,Description
0,Alabama,1,12/11/2020,78360,914,1.415826086,1684362,31,0,0,0,7171646,4887871,93,3667,Republican,Province_State , The name of the State within the USA.
1,Alaska,2,12/11/2020,18534,61,0.393950947,1113360,0,0,0,31,21299325,737438,1,272,Republican,fips,Code for US State
2,Arizona,4,12/11/2020,124396,962,1.846055392,4136075,0,0,0,0,10519475,7171646,62,3542,Democrat,Last_Update , The most recent date the file was pushed.
3,Arkansas,5,12/11/2020,54619,708,1.576705022,1812998,31,31,0,0,1420491,3013825,56,1280,Republican,"total_covid_cases	",Sum of all covid cases in the state. 
4,California,6,12/11/2020,512604,2565,1.389699241,26324332,31,0,31,0,1754208,39557045,241,22805,Democrat,"total_covid_deaths	",Sum of all covid deaths in the state. 
5,Colorado,8,12/11/2020,138568,1332,1.357064207,3642518,31,0,0,0,6126452,5695564,54,7307,Democrat,"case_fatality_ratio	", Number recorded deaths * 100/ Number confirmed cases.
6,Connecticut,9,12/11/2020,60026,620,3.725721959,3640545,31,0,0,31,1062305,3572665,644,12035,Democrat,total_test_results,Total of num of Test Results. 
7,Delaware,10,12/11/2020,15924,118,1.872850637,810338,31,31,0,0,1929268,967171,388,1625,Democrat,"sum_facemask_enforced	",Num of days face mask mandate was active 
8,District of Columbia,11,12/11/2020,5925,51,2.938003154,757833,31,31,0,31,3943079,702455,11496,1875,Democrat,"sum_facemask_citation_fine	",Num of days face mask mandate was enforced with citation or fine. 
9,Florida,12,12/11/2020,242523,2343,1.789627632,13490464,0,0,0,0,5084127,21299325,323,19895,Republican,"sum_holidays	",Num of holidays
10,Georgia,13,12/11/2020,113750,1245,1.898546256,4621841,0,0,0,0,882235,10519475,177,12452,Democrat,"sum_holiday_face_mask_citation_fine	",Num of holidays when face mask mandate was enforced with citation or fine. 
11,Hawaii,15,12/11/2020,2859,46,1.397361698,721655,0,0,0,31,6770010,1420491,129,499,Democrat,"sum_quarantine_travellers	",Num of days when quarantine was active for travellers
12,Idaho,16,12/11/2020,42600,422,0.962483478,495738,0,0,0,0,577737,1754208,20,1407,Republican,"sum_shelter_in_place	",Num of days when shelter in place order was active. 
